shift_id,restaurant_id,employee_id,employee_name,role,shift_start,shift_end,actual_start,actual_end,hours_worked,hourly_rate,shift_earnings,orders_handled,tips_received,performance_rating,notes
SHIFT10001,noodle-nation-001,EMP018,Employee 97,BARISTA,2025-09-24T18:00:00,2025-09-25T02:00:00,2025-09-24T18:10:00,2025-09-25T01:50:00,7.67,200,1533.33,0,0,3.9,On time
SHIFT10002,crust-crumble-001,EMP017,Employee 85,KITCHEN_HELPER,2025-10-20T18:00:00,2025-10-21T02:00:00,2025-10-20T18:10:00,2025-10-21T01:55:00,7.75,130,1007.5,0,0,4.8,Training new staff
SHIFT10003,sweet-delights-001,EMP019,Employee 51,SERVER,2025-12-09T06:00:00,2025-12-09T14:00:00,2025-12-09T05:59:00,2025-12-09T14:01:00,8.03,150,1205,35,249.4,4.6,Training new staff
SHIFT10004,golden-spoon-001,EMP058,Employee 33,BARISTA,2025-10-25T18:00:00,2025-10-26T02:00:00,2025-10-25T17:47:00,2025-10-26T02:16:00,8.48,200,1696.67,0,0,3.6,Training new staff
SHIFT10005,burger-blvd-001,EMP074,Employee 43,SERVER,2025-11-22T18:00:00,2025-11-23T02:00:00,2025-11-22T18:01:00,2025-11-23T01:56:00,7.92,150,1187.5,40,451.66,3.8,Training new staff
SHIFT10006,noodle-nation-001,EMP003,Employee 86,SERVER,2025-11-25T14:00:00,2025-11-25T22:00:00,2025-11-25T13:52:00,2025-11-25T22:10:00,8.3,150,1245,76,490.43,4.4,Handled rush hour well
SHIFT10007,golden-spoon-001,EMP048,Employee 5,DELIVERY_MANAGER,2025-10-16T14:00:00,2025-10-16T22:00:00,2025-10-16T13:59:00,2025-10-16T22:05:00,8.1,180,1458,0,0,3.6,
SHIFT10008,burger-blvd-001,EMP008,Employee 89,CASHIER,2025-11-14T14:00:00,2025-11-14T22:00:00,2025-11-14T13:55:00,2025-11-14T21:56:00,8.02,160,1282.67,0,0,4.7,Handled rush hour well
SHIFT10009,bean-brew-001,EMP011,Employee 22,CASHIER,2025-11-16T06:00:00,2025-11-16T14:00:00,2025-11-16T05:45:00,2025-11-16T14:00:00,8.25,160,1320,0,0,4.7,Handled rush hour well
SHIFT10010,golden-spoon-001,EMP036,Employee 37,CASHIER,2025-09-16T18:00:00,2025-09-17T02:00:00,2025-09-16T17:54:00,2025-09-17T01:52:00,7.97,160,1274.67,0,0,3.9,Training new staff
SHIFT10011,noodle-nation-001,EMP049,Employee 94,BARISTA,2025-09-29T06:00:00,2025-09-29T14:00:00,2025-09-29T05:49:00,2025-09-29T14:14:00,8.42,200,1683.33,0,0,3.9,On time
SHIFT10012,noodle-nation-001,EMP025,Employee 42,BARISTA,2025-12-01T06:00:00,2025-12-01T14:00:00,2025-12-01T06:08:00,2025-12-01T14:10:00,8.03,200,1606.67,0,0,4.7,
SHIFT10013,crust-crumble-001,EMP096,Employee 41,SERVER,2025-10-08T06:00:00,2025-10-08T14:00:00,2025-10-08T05:56:00,2025-10-08T14:14:00,8.3,150,1245,17,498.02,3.7,On time
SHIFT10014,golden-spoon-001,EMP054,Employee 84,KITCHEN_HELPER,2025-09-18T14:00:00,2025-09-18T22:00:00,2025-09-18T14:09:00,2025-09-18T22:09:00,8,130,1040,0,0,4,Handled rush hour well
SHIFT10015,bean-brew-001,EMP045,Employee 12,KITCHEN_HELPER,2025-10-23T14:00:00,2025-10-23T22:00:00,2025-10-23T14:01:00,2025-10-23T22:15:00,8.23,130,1070.33,0,0,5,On time
SHIFT10016,burger-blvd-001,EMP001,Employee 22,BARISTA,2025-11-18T06:00:00,2025-11-18T14:00:00,2025-11-18T05:56:00,2025-11-18T14:11:00,8.25,200,1650,0,0,3.9,On time
