order_item_id,order_id,restaurant_id,product_id,product_name,category,subcategory,quantity,unit_price,customization_charges,customizations,total_item_price,size,is_veg,preparation_time_min
ITEM10001_00,ORD10001,noodle-nation-001,PROD_NN_726,Manchurian,APPETIZER,ASIAN,1,220,0,,220,MEDIUM,TRUE,8
ITEM10001_01,ORD10001,noodle-nation-001,PROD_NN_739,Schezwan Noodles,NOODLES,ASIAN,1,280,0,,280,REGULAR,TRUE,9
ITEM10001_02,ORD10001,noodle-nation-001,PROD_NN_786,Spring Rolls,APPETIZER,ASIAN,2,180,0,,360,LARGE,TRUE,9
ITEM10002_00,ORD10002,sweet-delights-001,PROD_SD_854,Chocolate Chip Cookies,BAKERY,COOKIES,2,120,0,,240,REGULAR,TRUE,27
ITEM10002_01,ORD10002,sweet-delights-001,PROD_SD_328,Red Velvet Cake,CAKE,PREMIUM,1,650,0,,650,SMALL,TRUE,17
ITEM10002_02,ORD10002,sweet-delights-001,PROD_SD_658,Blueberry Muffin,BAKERY,MUFFIN,2,90,0,,180,LARGE,TRUE,9
ITEM10003_00,ORD10003,sweet-delights-002,PROD_SD_189,Blueberry Muffin,BAKERY,MUFFIN,2,90,0,,180,REGULAR,TRUE,13
ITEM10003_01,ORD10003,sweet-delights-002,PROD_SD_130,Garlic Bread,BAKERY,BREAD,1,150,0,,150,MEDIUM,TRUE,9
ITEM10004_00,ORD10004,bean-brew-001,PROD_BB_514,Chocolate Brownie,BAKERY,DESSERT,2,110,0,,220,SMALL,TRUE,27
ITEM10004_01,ORD10004,bean-brew-001,PROD_BB_514,Chocolate Brownie,BAKERY,DESSERT,1,110,0,,110,MEDIUM,TRUE,15
ITEM10004_02,ORD10004,bean-brew-001,PROD_BB_550,Club Sandwich,FOOD,SANDWICH,2,250,0,,500,MEDIUM,FALSE,10
ITEM10005_00,ORD10005,sweet-delights-001,PROD_SD_704,Cinnamon Roll,BAKERY,PASTRY,2,100,0,,200,LARGE,TRUE,27
ITEM10005_01,ORD10005,sweet-delights-001,PROD_SD_328,Red Velvet Cake,CAKE,PREMIUM,1,650,0,,650,MEDIUM,TRUE,19
ITEM10005_02,ORD10005,sweet-delights-001,PROD_SD_854,Chocolate Chip Cookies,BAKERY,COOKIES,2,120,0,,240,REGULAR,TRUE,12
ITEM10005_03,ORD10005,sweet-delights-001,PROD_SD_704,Cinnamon Roll,BAKERY,PASTRY,1,100,0,,100,REGULAR,TRUE,11
ITEM10005_04,ORD10005,sweet-delights-001,PROD_SD_704,Cinnamon Roll,BAKERY,PASTRY,1,100,0,,100,REGULAR,TRUE,17
ITEM10005_05,ORD10005,sweet-delights-001,PROD_SD_658,Blueberry Muffin,BAKERY,MUFFIN,2,90,0,,180,LARGE,TRUE,8
ITEM10006_00,ORD10006,bean-brew-001,PROD_BB_539,Cold Brew,BEVERAGE,COFFEE,1,150,0,,150,REGULAR,TRUE,28
ITEM10006_01,ORD10006,bean-brew-001,PROD_BB_583,Cappuccino,BEVERAGE,COFFEE,1,120,0,,120,SMALL,TRUE,28
ITEM10006_02,ORD10006,bean-brew-001,PROD_BB_514,Chocolate Brownie,BAKERY,DESSERT,1,110,0,,110,LARGE,TRUE,29
ITEM10006_03,ORD10006,bean-brew-001,PROD_BB_507,Iced Tea,BEVERAGE,TEA,1,90,0,,90,LARGE,TRUE,21
ITEM10008_00,ORD10008,bean-brew-001,PROD_BB_514,Chocolate Brownie,BAKERY,DESSERT,2,110,0,,220,SMALL,TRUE,18
ITEM10008_01,ORD10008,bean-brew-001,PROD_BB_550,Club Sandwich,FOOD,SANDWICH,2,250,0,,500,REGULAR,FALSE,20
ITEM10008_02,ORD10008,bean-brew-001,PROD_BB_539,Cold Brew,BEVERAGE,COFFEE,1,150,0,,150,LARGE,TRUE,21
