order_id,restaurant_id,customer_id,order_channel,order_type,created_at,status,payment_method,payment_status,subtotal,tax,delivery_fee,discount,tip_amount,total_amount,delivery_time_min,is_on_time,customer_rating,items_count,time_slot,is_weekend,is_holiday
ORD10001,noodle-nation-001,CUST5466,ZOMATO,DELIVERY,2025-09-10T12:51:02,COMPLETED,CASH,SUCCESS,198.24,19.82,37,48.23,44.07,233.22,38,TRUE,3,3,LUNCH,FALSE,FALSE
ORD10002,sweet-delights-001,CUST5099,ZOMATO,DELIVERY,2025-09-10T20:45:04,COMPLETED,WALLET,SUCCESS,429.04,42.9,35,91.74,87.98,504.75,32,FALSE,4,3,DINNER,FALSE,FALSE
ORD10003,sweet-delights-002,CUST5276,ZOMATO,DELIVERY,2025-09-10T02:40:53,COMPLETED,UPI,SUCCESS,238.25,23.83,52,12.48,34.03,280.29,25,TRUE,5,2,LATE_NIGHT,FALSE,FALSE
ORD10004,bean-brew-001,CUST5235,DINE_IN,DINE_IN,2025-09-10T14:10:29,COMPLETED,CASH,SUCCESS,243.93,24.39,0,13.39,0,286.98,0,TRUE,3,3,LUNCH,FALSE,FALSE
ORD10005,sweet-delights-001,CUST5463,DINE_IN,DINE_IN,2025-09-10T19:14:52,COMPLETED,CARD,SUCCESS,329.99,33,0,22.09,0,388.22,0,TRUE,4,6,DINNER,FALSE,FALSE
ORD10006,bean-brew-001,CUST5050,DINE_IN,DINE_IN,2025-09-10T20:13:41,COMPLETED,CARD,SUCCESS,288.31,28.83,0,10.3,0,339.18,0,TRUE,4,4,DINNER,FALSE,FALSE
ORD10007,burger-blvd-001,CUST5020,DINE_IN,DINE_IN,2025-09-10T17:47:35,CANCELLED,WALLET,FAILED,309.97,31,0,33.2,0,364.67,0,TRUE,,1,SNACK,FALSE,FALSE
ORD10008,bean-brew-001,CUST5387,DINE_IN,DINE_IN,2025-09-10T06:14:08,COMPLETED,UPI,SUCCESS,244.93,24.49,0,46.28,0,288.15,0,TRUE,5,6,BREAKFAST,FALSE,FALSE
ORD10009,golden-spoon-001,CUST5339,DINE_IN,DINE_IN,2025-09-10T20:40:10,CANCELLED,WALLET,FAILED,4197.59,419.76,0,66.67,0,4938.34,0,FALSE,,4,DINNER,FALSE,FALSE
ORD10010,burger-blvd-001,CUST5454,SWIGGY,DELIVERY,2025-09-10T13:33:16,COMPLETED,CASH,SUCCESS,267.75,26.77,73,59.22,77.58,315,22,TRUE,5,3,LUNCH,FALSE,FALSE
