payment_id,order_id,restaurant_id,transaction_id,payment_method,payment_gateway,amount,gateway_fee,gst_on_fee,net_amount,status,settlement_date,settlement_status,refund_amount,fraud_score,currency,customer_payment_mode
PAY50001,ORD10001,noodle-nation-001,TXN_315989,CASH,STRIPE,233.22,5.83,1.05,226.34,SUCCESS,12-09-2025,SETTLED,0,0.21,INR,DEBIT_CARD
PAY50002,ORD10002,sweet-delights-001,TXN_145464,WALLET,PAYTM,504.75,12.62,2.27,489.86,SUCCESS,12-09-2025,PENDING,0,0.25,INR,PAYTM
PAY50003,ORD10003,sweet-delights-002,TXN_607513,UPI,MANUAL,280.29,7.01,1.26,272.02,SUCCESS,12-09-2025,PENDING,0,0.23,INR,GPAY
PAY50004,ORD10004,bean-brew-001,TXN_928677,CASH,PAYTM,286.98,7.17,1.29,278.51,SUCCESS,12-09-2025,SETTLED,0,0.17,INR,PHONEPE
PAY50005,ORD10005,sweet-delights-001,TXN_378005,CARD,STRIPE,388.22,9.71,1.75,376.77,SUCCESS,12-09-2025,PENDING,0,0.24,INR,DEBIT_CARD
PAY50006,ORD10006,bean-brew-001,TXN_592729,CARD,MANUAL,339.18,8.48,1.53,329.17,SUCCESS,12-09-2025,SETTLED,0,0.12,INR,PHONEPE
PAY50008,ORD10008,bean-brew-001,TXN_426926,UPI,RAZORPAY,288.15,7.2,1.3,279.65,SUCCESS,12-09-2025,SETTLED,0,0.23,INR,GPAY
PAY50010,ORD10010,burger-blvd-001,TXN_829266,CASH,PAYTM,315,7.88,1.42,305.71,SUCCESS,12-09-2025,PENDING,0,0.1,INR,CREDIT_CARD
PAY50011,ORD10011,bean-brew-001,TXN_124376,CARD,MANUAL,583.32,14.58,2.62,566.11,SUCCESS,12-09-2025,SETTLED,0,0.05,INR,CASH
PAY50014,ORD10014,bean-brew-001,TXN_843560,UPI,MANUAL,455.81,11.4,2.05,442.36,SUCCESS,12-09-2025,SETTLED,0,0.24,INR,PHONEPE
PAY50015,ORD10015,bean-brew-001,TXN_136082,WALLET,PAYTM,294.72,7.37,1.33,286.03,SUCCESS,12-09-2025,PENDING,0,0.18,INR,PAYTM
PAY50016,ORD10016,bean-brew-001,TXN_676734,WALLET,STRIPE,476.85,11.92,2.15,462.78,SUCCESS,12-09-2025,PENDING,0,0.2,INR,CREDIT_CARD
PAY50017,ORD10017,burger-blvd-001,TXN_964153,CARD,RAZORPAY,268.77,6.72,1.21,260.84,SUCCESS,12-09-2025,PENDING,0,0.2,INR,DEBIT_CARD
PAY50018,ORD10018,noodle-nation-001,TXN_278399,UPI,STRIPE,639.28,15.98,2.88,620.42,SUCCESS,12-09-2025,PENDING,0,0.29,INR,PHONEPE
PAY50019,ORD10019,sweet-delights-002,TXN_417468,WALLET,PAYTM,249.29,6.23,1.12,241.94,SUCCESS,12-09-2025,SETTLED,0,0.21,INR,GPAY
PAY50020,ORD10020,sweet-delights-002,TXN_456028,WALLET,STRIPE,312.89,7.82,1.41,303.66,SUCCESS,12-09-2025,SETTLED,0,0.06,INR,DEBIT_CARD
PAY50021,ORD10021,noodle-nation-001,TXN_690666,CARD,RAZORPAY,521.88,13.05,2.35,506.48,SUCCESS,12-09-2025,SETTLED,0,0.14,INR,GPAY
PAY50022,ORD10022,sweet-delights-001,TXN_886497,UPI,MANUAL,512.75,12.82,2.31,497.62,SUCCESS,12-09-2025,SETTLED,0,0.23,INR,DEBIT_CARD
PAY50023,ORD10023,bean-brew-001,TXN_252020,UPI,PAYTM,345.7,8.64,1.56,335.5,SUCCESS,12-09-2025,SETTLED,0,0.04,INR,CREDIT_CARD
PAY50024,ORD10024,sweet-delights-002,TXN_846010,WALLET,MANUAL,537.76,13.44,2.42,521.9,SUCCESS,12-09-2025,PENDING,0,0.27,INR,PAYTM
PAY50026,ORD10026,burger-blvd-001,TXN_112497,UPI,RAZORPAY,352.28,8.81,1.59,341.89,SUCCESS,12-09-2025,SETTLED,0,0.3,INR,PHONEPE
PAY50028,ORD10028,sweet-delights-002,TXN_725706,WALLET,RAZORPAY,457.6,11.44,2.06,444.1,SUCCESS,12-09-2025,SETTLED,0,0.11,INR,GPAY
PAY50029,ORD10029,burger-blvd-001,TXN_438476,CARD,RAZORPAY,308.71,7.72,1.39,299.6,SUCCESS,12-09-2025,PENDING,0,0.03,INR,CASH
PAY50030,ORD10030,sweet-delights-002,TXN_648513,CASH,RAZORPAY,440.09,11,1.98,427.11,SUCCESS,12-09-2025,SETTLED,0,0.12,INR,GPAY
PAY50031,ORD10031,burger-blvd-001,TXN_344462,CARD,RAZORPAY,100,2.5,0.45,97.05,SUCCESS,12-09-2025,SETTLED,0,0.16,INR,DEBIT_CARD
PAY50032,ORD10032,sweet-delights-001,TXN_228690,CARD,MANUAL,391.46,9.79,1.76,379.91,SUCCESS,12-09-2025,PENDING,0,0.13,INR,GPAY
PAY50033,ORD10033,noodle-nation-001,TXN_757984,UPI,PAYTM,397.68,9.94,1.79,385.95,SUCCESS,12-09-2025,SETTLED,0,0.3,INR,CASH
PAY50034,ORD10034,sweet-delights-001,TXN_422794,CARD,RAZORPAY,450.73,11.27,2.03,437.43,SUCCESS,12-09-2025,SETTLED,0,0.04,INR,GPAY
